t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
34.83,330.3333333333333,169.2189902660652,"[176, 601, 387, 415, 166, 237]",0.1546239952869087,0.012388246239458816,"[0.15377508452520466, 0.14599705462561255, 0.16893252347511165, 0.1706055266577448, 0.1350270011040092, 0.15340678133376934]"
35.0,338.5,175.16934663347922,"[177, 624, 394, 418, 171, 247]",0.15500863702623854,0.011129580148604544,"[0.16206104793313483, 0.1481570369397317, 0.16451788068307638, 0.16801688544020452, 0.1356237919187961, 0.1516751792424877]"
35.17,346.8333333333333,178.87136905236306,"[182, 641, 403, 424, 179, 252]",0.15467394630485104,0.011798560642925664,"[0.16199522569975217, 0.14810210101168048, 0.1649347634345706, 0.16832761381452482, 0.13389851405683678, 0.15078545981174143]"
35.33,357.0,178.54523236423873,"[191, 647, 417, 437, 187, 263]",0.15440434626798957,0.011602378321690948,"[0.15992952749566458, 0.14827357358320503, 0.16643023124559717, 0.16784449993103406, 0.13471820998576506, 0.14923003536667148]"
35.5,367.1666666666667,183.6904098385832,"[193, 663, 430, 452, 191, 274]",0.15562528331316416,0.008659068177241155,"[0.16081046345549588, 0.14914790916393844, 0.16562616120806922, 0.16516103643901817, 0.14306384876993106, 0.1499422808425322]"
35.67,376.5,186.06853576034825,"[200, 678, 437, 462, 200, 282]",0.1560245716593627,0.007934593040893355,"[0.16137953119696355, 0.15148449121440474, 0.1622001443374911, 0.16558353302205212, 0.14218184477638388, 0.1533178854088808]"
35.83,386.0,187.0422412183943,"[207, 691, 444, 469, 208, 297]",0.15504601181265684,0.008587294182101156,"[0.15908163084296212, 0.1499470192506374, 0.16110694922696497, 0.1671972238609756, 0.14060917523050856, 0.1523340724638925]"
36.0,394.1666666666667,188.55918611053312,"[220, 700, 454, 481, 210, 300]",0.15676640936197517,0.009120647171870227,"[0.1665892491349546, 0.15006939180111406, 0.1630259641095957, 0.16511429563001873, 0.1411294210200083, 0.1546701344761596]"
36.17,404.3333333333333,193.44008547006658,"[225, 720, 458, 497, 219, 307]",0.15592718409160636,0.009820525037557518,"[0.16435031440228437, 0.15024195510136173, 0.16454827752268766, 0.16343303154602662, 0.1373628632549112, 0.15562666272236644]"
36.33,415.6666666666667,197.16659622427593,"[236, 738, 475, 506, 226, 313]",0.15461050235679275,0.010969824088194876,"[0.16273803397699949, 0.1498534432200403, 0.16278362819921682, 0.1662717937725385, 0.13402705799238002, 0.15198905697958137]"
36.5,427.8333333333333,202.61334276563986,"[241, 757, 499, 515, 232, 323]",0.15374782180788918,0.009205822566318508,"[0.1585767168592312, 0.14960690014966554, 0.16186686367279296, 0.16421837960422933, 0.13680651097964897, 0.15141155958176714]"
36.67,436.3333333333333,205.22637907117755,"[246, 764, 516, 527, 232, 333]",0.15316176472070514,0.010978195331371185,"[0.1601563067176545, 0.15032185477766047, 0.1612462571452115, 0.16348991226549475, 0.13093588493971875, 0.15282037247849092]"
36.83,446.1666666666667,209.52080246759905,"[250, 781, 522, 544, 241, 339]",0.15187533892605418,0.010909392055937613,"[0.1557990072887236, 0.14711255597436737, 0.16284193350152623, 0.161770180172018, 0.1305198188814074, 0.15320853773828236]"
37.0,457.3333333333333,213.85758501083535,"[259, 802, 531, 556, 250, 346]",0.15228914547848557,0.01184028025870479,"[0.15644029829187575, 0.1453940930169408, 0.16303980022519454, 0.1631302950893915, 0.12934389985789058, 0.15638648638962035]"
37.17,466.3333333333333,216.44275609654085,"[262, 816, 542, 562, 257, 359]",0.15124355811294546,0.011178500051860486,"[0.1548826139517825, 0.1447711207201938, 0.16186315943739912, 0.16282554445974207, 0.13015472000417924, 0.15296419010437595]"
37.33,481.8333333333333,226.04018816720773,"[271, 844, 570, 581, 263, 362]",0.1506834530156962,0.010834185985055254,"[0.15669394366955502, 0.1428647117745026, 0.15899698196750692, 0.16058658808134466, 0.13012582693902147, 0.15483266566224646]"
37.5,492.6666666666667,227.37692641661482,"[285, 859, 577, 594, 273, 368]",0.14968941335444416,0.010063378404123505,"[0.15382242550899647, 0.14171902112956883, 0.15896213207312757, 0.1591773155263338, 0.13128098040845537, 0.1531746054801828]"
37.67,506.1666666666667,230.60478457019633,"[294, 878, 584, 614, 282, 385]",0.14928864161103658,0.010456004813904844,"[0.15746717368800747, 0.14191037708202667, 0.15556393398151339, 0.15874254969922047, 0.12942059521749505, 0.15262721999795642]"
37.83,517.6666666666666,233.578823241035,"[303, 893, 596, 629, 288, 397]",0.14974787284917382,0.010499575626843125,"[0.1618167423842412, 0.1410371174313286, 0.1542791974959517, 0.1566443451602254, 0.13089835059845845, 0.15381148402483763]"
38.0,529.5,235.8268432558092,"[310, 904, 616, 642, 294, 411]",0.14971814623175342,0.011345247371748355,"[0.1629977264858645, 0.13999376528322785, 0.15362963158477277, 0.15643671199976156, 0.12958083852862073, 0.15567020350827313]"
38.17,539.8333333333334,239.8769823610983,"[323, 923, 625, 653, 297, 418]",0.14959811408101456,0.011897056787672283,"[0.16440619693416297, 0.14005610565739918, 0.15607460347817412, 0.1553594856124652, 0.12838463916231535, 0.15330765364157045]"
38.33,550.1666666666666,241.03478310539884,"[335, 937, 635, 660, 303, 431]",0.14929982718442905,0.012917047092859662,"[0.16665307017428024, 0.13842634552233274, 0.15498897401445613, 0.15635374707958727, 0.12714149618292497, 0.1522353301329931]"
38.5,566.1666666666666,247.2451549912893,"[340, 961, 665, 670, 313, 448]",0.14896383965051171,0.011591744066353776,"[0.16695872103391224, 0.1375690488423614, 0.15506250226286727, 0.1530031558248691, 0.13167956729361222, 0.1495100426454481]"
38.67,577.0,251.1835981906462,"[353, 981, 668, 687, 319, 454]",0.15011211806774002,0.012641651267711981,"[0.16847962724581184, 0.13661166159676358, 0.15735708882638189, 0.1530217015340731, 0.13108044771454236, 0.15412218148886744]"
